step,loss,grad_norm,learning_rate,num_tokens,completions/mean_length,completions/min_length,completions/max_length,completions/clipped_ratio,completions/mean_terminated_length,completions/min_terminated_length,completions/max_terminated_length,rewards/reward_func/mean,rewards/reward_func/std,reward,reward_std,frac_reward_zero_std,kl,entropy,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/high_mean,clip_ratio/high_max,clip_ratio/region_mean,epoch
82,0.0001,0.003843985963612795,2.2058823529411766e-05,405219.0,208.9375,191.5,224.75,0.4375,138.5625,127.5,152.25,0.25,0.0,0.25,0.0,1.0,0.005839984281919897,0.3221145197749138,0.0,0.0,0.0,0.0,0.0,0.04
83,0.0506,0.0038366063963621855,2.2326203208556152e-05,411387.0,215.5,177.0,245.75,0.375,199.35416793823242,177.0,226.5,0.375,0.14433756470680237,0.375,0.14433756470680237,0.75,0.004345332738012075,0.27988994121551514,0.0,0.0,0.0,0.0,0.0,0.05
84,0.0603,0.004045030567795038,2.2593582887700535e-05,416462.0,170.9375,107.75,217.5,0.1875,136.4375,107.75,171.5,0.5625,0.125,0.5625,0.125,0.75,0.00700269261142239,0.3186752274632454,0.0,0.0,0.0,0.0,0.0,0.05
85,-0.0539,1.0325194597244263,2.286096256684492e-05,421268.0,164.375,141.5,193.5,0.1875,156.29166793823242,141.5,175.75,0.25,0.39433756470680237,0.25,0.39433756470680237,0.25,0.013561505591496825,0.3642074912786484,0.0,0.0,0.0,0.0,0.0,0.05
86,-0.0026,0.5071271657943726,2.3128342245989306e-05,425657.0,124.0625,89.75,172.75,0.0,124.0625,89.75,172.75,0.5625,0.375,0.5625,0.375,0.25,0.017560315784066916,0.4221619740128517,0.0,0.0,0.0,0.0,0.0,0.05
87,0.0185,0.005256426986306906,2.339572192513369e-05,430752.0,174.4375,149.0,193.75,0.125,172.25,149.0,193.25,0.375,0.25,0.375,0.25,0.5,0.009860914200544357,0.28974244743585587,0.0,0.0,0.0,0.0,0.0,0.05
88,0.0943,0.003508106805384159,2.3663101604278075e-05,436297.0,193.8125,163.25,228.75,0.3125,122.52083587646484,99.25,146.75,0.5625,0.125,0.5625,0.125,0.75,0.007412652252241969,0.38460902124643326,0.0,0.0,0.0,0.0,0.0,0.05
89,0.0002,0.00879710167646408,2.393048128342246e-05,440930.0,138.0625,84.0,169.25,0.1875,100.1875,84.0,118.75,0.75,0.0,0.75,0.0,1.0,0.01025735936127603,0.3334666080772877,0.0,0.0,0.0,0.0,0.0,0.05
90,0.106,0.48430484533309937,2.4197860962566847e-05,446042.0,174.0,119.75,206.25,0.1875,159.41666793823242,119.75,192.75,0.5625,0.125,0.5625,0.125,0.75,0.009415860171429813,0.30071092396974564,0.0,0.0,0.0,0.0,0.0,0.05
91,-0.0595,0.003997459542006254,2.4465240641711233e-05,450348.0,135.875,118.25,168.5,0.0,135.875,118.25,168.5,0.9375,0.125,0.9375,0.125,0.75,0.010172751965001225,0.2416575849056244,0.0,0.0,0.0,0.0,0.0,0.05
92,0.1064,0.004596829880028963,2.4732620320855615e-05,456052.0,209.5,157.0,256.0,0.375,180.83333587646484,157.0,196.0,0.375,0.25,0.375,0.25,0.5,0.0067051975056529045,0.26461905241012573,0.0,0.0,0.0,0.0,0.0,0.05
93,-0.0536,0.49023711681365967,2.5e-05,460139.0,130.4375,89.5,184.0,0.0625,121.52083396911621,89.5,151.75,0.6875,0.125,0.6875,0.125,0.75,0.010649554431438446,0.28163038939237595,0.0,0.0,0.0,0.0,0.0,0.05
